datetime,date,time,co2,ch4,n20,filename
8/6/2019 11:40,8/6/2019,11:40:59,844.2,1.99,0.352,hr 08062019 w3 soil.txt
8/6/2019 11:41,8/6/2019,11:41:24,712.8,2.11,0.348,hr 08062019 w3 soil.txt
8/6/2019 11:20,8/6/2019,11:20:18,805.7,2.11,0.355,hr 08062019 w3.txt
8/6/2019 11:20,8/6/2019,11:20:43,617.6,1.96,0.367,hr 08062019 w3.txt
8/6/2019 11:21,8/6/2019,11:21:08,548.2,1.96,0.351,hr 08062019 w3.txt
8/6/2019 11:21,8/6/2019,11:21:33,535.4,1.87,0.346,hr 08062019 w3.txt
8/6/2019 11:21,8/6/2019,11:21:58,533.9,1.96,0.347,hr 08062019 w3.txt
8/6/2019 11:22,8/6/2019,11:22:23,540.5,2.02,0.336,hr 08062019 w3.txt
8/6/2019 11:22,8/6/2019,11:22:48,556,1.98,0.315,hr 08062019 w3.txt
8/6/2019 11:23,8/6/2019,11:23:13,581.4,2.05,0.347,hr 08062019 w3.txt
8/6/2019 11:23,8/6/2019,11:23:38,600.8,1.92,0.36,hr 08062019 w3.txt
8/6/2019 11:24,8/6/2019,11:24:03,617.8,2.11,0.353,hr 08062019 w3.txt
8/6/2019 11:24,8/6/2019,11:24:28,635.3,1.97,0.344,hr 08062019 w3.txt
8/6/2019 11:24,8/6/2019,11:24:53,648.3,2.02,0.358,hr 08062019 w3.txt
8/6/2019 11:25,8/6/2019,11:25:18,654,2.01,0.346,hr 08062019 w3.txt
8/6/2019 11:53,8/6/2019,11:53:49,436.5,2.01,0.292,hr 08062019 w4 soil .txt
8/6/2019 11:54,8/6/2019,11:54:14,436.1,2,0.327,hr 08062019 w4 soil .txt
8/6/2019 11:54,8/6/2019,11:54:39,448.2,2.12,0.325,hr 08062019 w4 soil .txt
8/6/2019 11:55,8/6/2019,11:55:04,469.5,2.02,0.313,hr 08062019 w4 soil .txt
8/6/2019 11:55,8/6/2019,11:55:29,490.4,2.08,0.335,hr 08062019 w4 soil .txt
8/6/2019 11:42,8/6/2019,11:42:54,541.1,1.94,0.333,hr 08062019 w4.txt
8/6/2019 11:43,8/6/2019,11:43:19,573.3,1.96,0.361,hr 08062019 w4.txt
8/6/2019 11:43,8/6/2019,11:43:44,561.4,2.01,0.341,hr 08062019 w4.txt
8/6/2019 11:44,8/6/2019,11:44:09,514.9,2.02,0.317,hr 08062019 w4.txt
8/6/2019 11:44,8/6/2019,11:44:34,480.1,2.04,0.331,hr 08062019 w4.txt
8/6/2019 11:44,8/6/2019,11:44:59,461.8,2.03,0.33,hr 08062019 w4.txt
8/6/2019 11:45,8/6/2019,11:45:24,446.5,1.96,0.332,hr 08062019 w4.txt
8/6/2019 11:45,8/6/2019,11:45:49,438.6,2.15,0.352,hr 08062019 w4.txt
8/6/2019 11:46,8/6/2019,11:46:14,435.1,2.04,0.341,hr 08062019 w4.txt
8/6/2019 11:46,8/6/2019,11:46:39,439.1,2,0.353,hr 08062019 w4.txt
8/6/2019 11:47,8/6/2019,11:47:04,436.9,2.07,0.332,hr 08062019 w4.txt
8/6/2019 11:47,8/6/2019,11:47:29,434.8,2.03,0.312,hr 08062019 w4.txt
